FIRSTNAME,LASTNAME,BIRTHDAY,UNIVERSITY,,,
Tate,Chapman,6/7/1995,Ateneo De Manila University,,,
Kyndall,Garrison,10/10/1993,Ateneo De Manila University,,,
April,Warren,9/3/1995,Ateneo De Manila University,,,
Skylar,Oconnor,9/26/1996,Ateneo De Manila University,,,
Alaya,Ryan,4/7/1996,Ateneo De Manila University,,,
Lawrence,Cohen,5/20/1992,Ateneo De Manila University,,,
Marlon,Cantu,7/17/1994,Ateneo De Manila University,,,
Penelope,Nguyen,4/26/1998,Ateneo De Manila University,,,
Clara,Barrera,5/14/1996,Ateneo De Manila University,,,
Will,Dickson,7/15/1997,Ateneo De Manila University,,,
Sarai,Atkinson,8/8/1994,Ateneo De Manila University,,,
Mia,Roach,12/25/1998,Ateneo De Manila University,,,
Skyla,Johnson,4/30/1998,Ateneo De Manila University,,,
Elyse,Noel,6/5/1995,Ateneo De Manila University,,,
Madison,Burns,4/20/1997,Ateneo De Manila University,,,
Lilliana,Warner,3/13/1996,Ateneo De Manila University,,,
Branson,Joyner,6/16/1994,Ateneo De Manila University,,,
Stella,Rivas,5/12/1996,Ateneo De Manila University,,,
Marc,Clayton,1/5/1998,Ateneo De Manila University,,,
Dax,Barnes,8/19/1994,Ateneo De Manila University,,,
Vanessa,Lloyd,9/22/1998,Ateneo De Manila University,,,
Erica,Cummings,2/9/1995,Ateneo De Manila University,,,
Clark,Garcia,7/8/1998,Ateneo De Manila University,,,
Bruce,Franco,7/2/1992,Ateneo De Manila University,,,
Chana,Collier,3/28/1993,Ateneo De Manila University,,,
Mitchell,Underwood,6/14/1994,Ateneo De Manila University,,,
Annabelle,Sweet,9/18/1995,Ateneo De Manila University,,,
Morgan,Sims,11/12/1993,Ateneo De Manila University,,,
Dylan,Hurley,6/18/1996,Ateneo De Manila University,,,
Michelle,Pearson,2/3/1994,Ateneo De Manila University,,,
Lillianna,Cervantes,4/11/1995,Ateneo De Manila University,,,
Kenzie,Conrad,4/20/1995,Ateneo De Manila University,,,
Vincent,Walter,11/19/1996,Ateneo De Manila University,,,
Enrique,Dalton,3/11/1996,Ateneo De Manila University,,,
Scarlet,Mcclain,6/13/1994,Ateneo De Manila University,,,
Alyson,Church,4/20/1996,Ateneo De Manila University,,,
Abel,Dixon,11/9/1996,Ateneo De Manila University,,,
Callan,Melton,11/26/1993,Ateneo De Manila University,,,
Chase,Wade,4/13/1994,Ateneo De Manila University,,,
Amya,Wilkins,7/12/1992,Ateneo De Manila University,,,
Luciano,Moreno,10/1/1994,Ateneo De Manila University,,,
Shaniya,Pittman,6/22/1994,Ateneo De Manila University,,,
Danika,Snyder,9/14/1996,Ateneo De Manila University,,,
Grayson,Ward,1/11/1998,Ateneo De Manila University,,,
Rex,Odom,7/27/1998,Ateneo De Manila University,,,
Makayla,Wright,12/3/1998,Ateneo De Manila University,,,
Kamron,Dominguez,1/15/1998,Ateneo De Manila University,,,
Dominik,Kaufman,2/9/1996,Ateneo De Manila University,,,
Kylan,Booker,5/12/1995,Ateneo De Manila University,,,
Demarcus,Mcneil,7/4/1997,Ateneo De Manila University,,,
Jagger,Collier,12/11/1996,Ateneo De Manila University,,,
Amelia,Stephens,7/17/1996,Ateneo De Manila University,,,
Halle,Pickett,12/12/1998,Ateneo De Manila University,,,
Jade,Workman,12/27/1992,Ateneo De Manila University,,,
Brycen,Figueroa,9/12/1993,Ateneo De Manila University,,,
Stacy,Poole,6/15/1998,Ateneo De Manila University,,,
April,Gibson,2/22/1996,Ateneo De Manila University,,,
Kyra,Cain,6/8/1994,Ateneo De Manila University,,,
Fabian,Shields,1/28/1994,Ateneo De Manila University,,,
Armando,Pickett,9/17/1997,Ateneo De Manila University,,,
